AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;01;03;Alicante/Alacant;056;Cocentaina;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;4
2026;01;03;Alicante/Alacant;096;Onil;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;1
2026;01;46;Valencia/València;257;Castelló;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;2
2026;01;03;Alicante/Alacant;015;Almoradí;I ;INDUSTRIA;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;1
2026;01;46;Valencia/València;021;Aldaia;A ;AGRICULTURA;9;Ocupaciones elementales;M;Mujer;<25  ;2
2026;01;03;Alicante/Alacant;041;Benissa;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;1
2026;01;03;Alicante/Alacant;063;Dénia;I ;INDUSTRIA;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;1
2026;01;03;Alicante/Alacant;093;Novelda;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;1
2026;01;46;Valencia/València;098;Corbera;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;<25  ;1
2026;01;46;Valencia/València;102;Quart de Poblet;I ;INDUSTRIA;1;Directores y gerentes;M;Mujer;25-44;1
2026;01;12;Castellón/Castelló;009;Almassora;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;8
2026;01;03;Alicante/Alacant;066;Elda;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;25-44;5
