AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;03;12;Castellón/Castelló;021;Betxí;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;3
2026;03;46;Valencia/València;106;Chelva;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;1
2026;03;46;Valencia/València;220;Sagunt/Sagunto;S ;SERVICIOS;1;Directores y gerentes;M;Mujer;>44  ;2
2026;03;46;Valencia/València;250;València;A ;AGRICULTURA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;4
2026;03;12;Castellón/Castelló;032;Borriana/Burriana;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;2
2026;03;12;Castellón/Castelló;126;Vall d'Uixó, la;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;2
2026;03;46;Valencia/València;008;Albalat de la Ribera;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;<25  ;1
2026;03;46;Valencia/València;223;Sedaví;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;3
2026;03;46;Valencia/València;025;Alfara del Patriarca;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;2
2026;03;46;Valencia/València;116;Eliana, l';S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;<25  ;1
2026;03;03;Alicante/Alacant;140;Villena;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;<25  ;4
2026;03;46;Valencia/València;013;Alboraia/Alboraya;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;<25  ;3
2026;03;46;Valencia/València;147;Llíria;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2026;03;46;Valencia/València;222;Sant Joanet;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;>44  ;1
2026;03;46;Valencia/València;181;Oliva;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;25-44;7
2026;03;46;Valencia/València;193;Picanya;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;10
